name,artist,uri
Tum Mile,"Pritam,Neeraj Shridhar",https://open.spotify.com/track/1EjxJHY9A6LMOlvyZdwDly
Be Free,Vidya Vox,https://open.spotify.com/track/25iXD24rJ3QByQl58vG5hB
Namo Namo,Amit Trivedi,https://open.spotify.com/track/5QtQFSdyZEl0w4iDxAyv76
Makhna,"Tanishk Bagchi,Yasser Desai,Asees Kaur",https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
Naina Da Kya Kasoor,Amit Trivedi,https://open.spotify.com/track/4JQxGJ8jsKW8pOUVoAgOZr
Pasoori,"Shae Gill,Ali Sethi",https://open.spotify.com/track/7lvDsmTRXFE3dK4OjvRiWB
Haaye Oye (feat. Ash King),"QARAN,Ash King",https://open.spotify.com/track/0oukMLKedsqQ3ltnI2daRO
Buttabomma - Telugu,"Armaan Malik,Thaman S",https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS
Kesariya,"Pritam,Arijit Singh,Amitabh Bhattacharya",https://open.spotify.com/track/4UMIv5jd9gK98a39BQRD9X
Raanjhanaa,"A.R. Rahman,Jaswinder Singh,Shiraz Uppal",https://open.spotify.com/track/5OMUXgfXsSukZ0zxelpC3b
"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi,Jubin Nautiyal,Asees Kaur",https://open.spotify.com/track/2rOnSn2piaqLAlYjtfUBlY
Apna Time Aayega,"Ranveer Singh,Dub Sharma,DIVINE",https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj
Get Ready To Fight,"Benny Dayal,Siddharth Basrur,Pranay Rijia",https://open.spotify.com/track/3n1IbkZGIxwP27kiE3TKtP
Bezubaan,"Sachin-Jigar,Mohit Chauhan,Priya Saraiya,Deane Sequeira,Tanvi Shah",https://open.spotify.com/track/2ota18jyZVMGvwQ0IV8qz7
