name,artist,uri
Excuses,"AP Dhillon,Gurinder Gill,Intense",https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV
DESIRES,"AP Dhillon,Gurinder Gill",https://open.spotify.com/track/5pcmtf1lwrMqmAWWm248fY
Bijlee Bijlee,Harrdy Sandhu,https://open.spotify.com/track/1iZLpuGMr4tn1F5bZu32Kb
Ma Belle,"AP Dhillon,Amari",https://open.spotify.com/track/3D0pmiK3zyF9PudyJ8mkor
Vibe,Diljit Dosanjh,https://open.spotify.com/track/44gJjTJwY4eba0jpNnrlld
Brown Munde,"AP Dhillon,Gminxr,Gurinder Gill,Shinda Kahlon",https://open.spotify.com/track/58f4twRnbZOOVUhMUpplJ4
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")","Anirudh Ravichander,Jonita Gandhi",https://open.spotify.com/track/6yvxu91deFKt3X1QoV6qMv
Saami Saami,Rajalakshmi Senthiganesh,https://open.spotify.com/track/397k2vS0xPDxKKVXV46KtV
Rowdy Baby,"Yuvan Shankar Raja,Dhanush,Dhee",https://open.spotify.com/track/0Tm5ER6IrGfmW0yZ5lkQli
Kalank (Title Track),"Pritam,Arijit Singh",https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
Blue Eyes,Yo Yo Honey Singh,https://open.spotify.com/track/7wW9scVNLYFLsmBb1yAUmS
Aadat Se Majboor,"Salim–Sulaiman,Benny Dayal,Amitabh Bhattacharya",https://open.spotify.com/track/7CDP4uXu6mkBDzaTOx9yTS
