name,artist,uri
"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli,Arijit Singh,Neha Kakkar",https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
Nagada Nagada,"Pritam,Sonu Nigam,Javed Ali",https://open.spotify.com/track/2W6bC4K4e6y42HnYTA5yHO
Jashn-E-Bahaaraa,"A.R. Rahman,Javed Ali",https://open.spotify.com/track/1O5mTSQa0sCce9ghhDqIZl
Ajj Din Chadheya,"Rahat Fateh Ali Khan,Pritam",https://open.spotify.com/track/4NmWv6PEGEAmorN5UN9fRo
Kabhi Kabhi Aditi,Rashid Ali,https://open.spotify.com/track/3APdIdF8H0jsxSuGOqXedS
Jab Se Tere Naina,"Monty Sharma,Shaan",https://open.spotify.com/track/0gRNu9dVzi5aC87AI1empZ
Tere Bina,"A.R. Rahman,Chinmayi,Murtuza Khan,Qadir Khan",https://open.spotify.com/track/4FeczSomVWVyU4FW7xDeAI
Give Me Some Sunshine,"Suraj Jagan,Sharman Joshi",https://open.spotify.com/track/4gBQbegBZlPhMgaWVzCCY5
Tu Hi Haqeeqat,"Pritam,Javed Ali,Irshan Ashraf,Shadab",https://open.spotify.com/track/3OLFqbd9ZeVjaUKTiaLsD6
Masakali,Mohit Chauhan,https://open.spotify.com/track/5iyNH1Dmxif1k4Nl1gMeuh
Dil Dooba,"Sonu Nigam,Shreya Ghoshal",https://open.spotify.com/track/6cUaCs1lKfDOyFKMkBF8ch
Ik Tu Hi (No-Mabe),"Rito Riba,Rajat Nagpal,Rana Sotal",https://open.spotify.com/track/7JJ9Q8QKrfauJWlZiol1Uf
O Sanam,Lucky Ali,https://open.spotify.com/track/5oYRr51VatOtkFeEOursuZ
Mast Magan,"Arijit Singh,Chinmayi",https://open.spotify.com/track/3uL1IBFhg52VcQqOwAG01E
