name,artist,uri
Despacito,"Luis Fonsi,Daddy Yankee",https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb
Señorita,"Shawn Mendes,Camila Cabello",https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
Sawaar Loon,Monali Thakur,https://open.spotify.com/track/29YePgOxuPLfU7uZKxKf6w
Girls Like You (feat. Cardi B) - Cardi B Version,"Maroon 5,Cardi B",https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
Memories,Ronald Meirs,https://open.spotify.com/track/6Ju5CL7mmHjPmzJWXFFWJn
Inkem Inkem Inkem Kaavaale,Sid Sriram,https://open.spotify.com/track/5CWQ9WBbd1HESogIIuTlVI
Sakhiyaan,Maninder Buttar,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
Ik Tera,Maninder Buttar,https://open.spotify.com/track/57DhVYA7E1CyrE4OKuyLb7
Sohnea,"Miss Pooja,Millind Gaba",https://open.spotify.com/track/5sTmP21XbUw3hyXLmX2L1z
Uff Teri Adaa,"Shankar Mahadevan,Alyssa Mendonsa",https://open.spotify.com/track/0og9wKFGgFFNQnrBe7eisG
"Lift Teri Bandh Hai (From ""Judwaa 2"")","Anu Malik,Neha Kakkar,Sandeep Shirodkar",https://open.spotify.com/track/3ElJ4RSdrweHUb1jsPEOF8
Sultan,"Ananya Bhat,Mohan Krishna,Santhosh Venky,Renjith Unni,Balraj Jagadeesh Kumar,Deepesh Ak,H.S. Srinivasa Murthy,Vijay Aurs,Abhishek Chaithra Soman,Chethan Naik,Madhwesh Bharadwaj",https://open.spotify.com/track/4aO9pvX2kTJTdmJqc0YRsr
"Ghamand Kar (From ""Tanhaji - The Unsung Warrior"")","Sachet Tandon,Parampara Tandon,Sachet-Parampara",https://open.spotify.com/track/4FcZBCb6dANhvsEnFlgJwG
