name,artist,uri
OOPS,King,https://open.spotify.com/track/5RrOyaV2xOAnf62uWj24dB
Jugnu,"Badshah,Nikhita Gandhi",https://open.spotify.com/track/2NTVtNcpC0i1R7LVGaCZCF
"Srivalli (From ""Pushpa The Rise Part - 01"")","Javed Ali,Devi Sri Prasad",https://open.spotify.com/track/7sVEoPc5ZUUQerRkgTypUZ
Tu / You,Armaan Malik,https://open.spotify.com/track/4L6hCEc9xFf01U4d66JzK0
Atak Gaya - Arijit Singh,"Arijit Singh,Rupali Moghe",https://open.spotify.com/track/5WzfGg2ueNoOS5aIkaR9qX
Barbaadiyan,"Sachet Tandon,Nikhita Gandhi,Madhubanti Bagchi,Sachin-Jigar",https://open.spotify.com/track/6qZyM6JV8ohLC4S2EL5sFh
Param Sundari,"A.R. Rahman,Shreya Ghoshal",https://open.spotify.com/track/3KeMulXbLDJBQdY5PZbGEh
Paani Paani,"Badshah,Aastha Gill",https://open.spotify.com/track/47Rqh5ZSamtIOFi7G6VgFJ
"Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")","Sachin-Jigar,Rashmeet Kaur,Shamur,IP Singh",https://open.spotify.com/track/2PEo8JQ48mfEv8a2HLqDvt
Tu Aake Dekhle,King,https://open.spotify.com/track/0yCWDaAgOtg6TKlNCg9rwA
"Shayad (From ""Love Aaj Kal"")","Pritam,Arijit Singh",https://open.spotify.com/track/018eOid2aGaPdxon7T6GsC
Raanjhanaa,"A.R. Rahman,Jaswinder Singh,Shiraz Uppal",https://open.spotify.com/track/5OMUXgfXsSukZ0zxelpC3b
Tum Tak,"A.R. Rahman,Javed Ali,KIRTI SAGATHIA,Pooja AV",https://open.spotify.com/track/1wnozUBSe7OMpmZiTPJC5j
Ajab Si,KK,https://open.spotify.com/track/5FXMRdJjKq1BIX4e8Eg9mK
