name,artist,uri
Mirchi,"DIVINE,MC Altaf,Stylo G,Phenom",https://open.spotify.com/track/5KkCsYIgMK5H7Ih31Dnd2Q
Believer,Imagine Dragons,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
Kya Mujhe Pyar Hai,KK,https://open.spotify.com/track/3HFjh7QljnUCBLsoTwMuTj
Apna Bana Le,"Sachin-Jigar,Arijit Singh",https://open.spotify.com/track/1zhpW0PLYAhzF3X49GaAOX
Heer Ranjha,"Rito Riba,Rajat Nagpal,Rana Sotal",https://open.spotify.com/track/3wwLWFRLiReDf5AqgmAJwT
"Ghodey Pe Sawaar (From ""Qala"")","Amit Trivedi,Amitabh Bhattacharya,Sireesha Bhagavatula",https://open.spotify.com/track/1a8w8nlIyIhE2W1HIayKnl
Aise Kyun - Ghazal Version,"Rekha Bhardwaj,Anurag Saikia,Raj Shekhar,Mismatched",https://open.spotify.com/track/02wf1NAQdIpe5S1NJYPwvB
Chaand Baaliyan,Aditya A,https://open.spotify.com/track/0snQrp1VaY5Pj1YIHRJpRJ
"Dance Ka Bhoot (From ""Brahmastra"")","Pritam,Arijit Singh,Amitabh Bhattacharya",https://open.spotify.com/track/5OcGETO7eEKjKme4gm0r7y
"Deva Deva (From ""Brahmastra"")","Pritam,Arijit Singh,Amitabh Bhattacharya,Jonita Gandhi",https://open.spotify.com/track/0IGXY47K2ha3AHfX57wY1O
"Rangisari (From ""Jugjugg Jeeyo"")","Kanishk Seth,Kavita Seth",https://open.spotify.com/track/0DXfJ2iKRDEG7rPgssWFea
Ghani Bawri,Jyoti Noora,https://open.spotify.com/track/65c5R6BSUGGyHW1UJUey94
Meet,Arijit Singh,https://open.spotify.com/track/4OCpBhcJxiSd1azaBOy21U
Raabta,"Pritam,Arijit Singh",https://open.spotify.com/track/6FjbAnaPRPwiP3sciEYctO
