name,artist,uri
O'Meri Laila,"Atif Aslam,Jyotica Tangri",https://open.spotify.com/track/4qVStkAhz8A61r7bfLqPvM
"Sooraj Dooba Hain (From ""Roy"")","Arijit Singh,Aditi Singh Sharma",https://open.spotify.com/track/5HcBFhFQEtqKrsRkr95XYu
Raabta,"Pritam,Arijit Singh",https://open.spotify.com/track/6FjbAnaPRPwiP3sciEYctO
Ilahi,"Pritam,Arijit Singh",https://open.spotify.com/track/5cgKosPPj5Cs9a2JQufUc1
Gulabi Aankhen,Sanam,https://open.spotify.com/track/1ccZZf0IQi5y0bHMl2aGDF
Befikra,"Meet Bros.,Aditi Singh Sharma,Natalie Ram,Thomson Andrews,Keshia Braganza,Gwen Dias,Ryan Dias",https://open.spotify.com/track/06wTXKpDMrSp5OfB7MErpx
Maan Meri Jaan,King,https://open.spotify.com/track/1418IuVKQPTYqt7QNJ9RXN
"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana,Tanishk-Vayu",https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
Yeh Raaten Yeh Mausam,"Sanam,Simran Sehgal",https://open.spotify.com/track/1ApfHqjOoBmJZ0SjdjzVyA
Mere Samnewali Khidki Mein,"Kishore Kumar,R. D. Burman",https://open.spotify.com/track/5ZMuv6ESQmOHfXrm8FFncr
Raat Kali Ek Khwab Mein Aai,Sanam,https://open.spotify.com/track/1nxz6kRPxz7cpz3O44at3o
Theher Ja,"Abhishek Arora,Armaan Malik",https://open.spotify.com/track/00juIvfvPtZ0CfAMwEkHaV
